"temp","light"
1060,-2442
900,-2086
1020,-2652
900,-2206
920,-1852
1020,-2643
1020,-2398
940,-2450
1020,-2648
1020,-3165
900,-2339
1020,-2836
1020,-2866
1020,-2209
960,-2068
940,-1989
960,-2033
1020,-2974
1020,-2582
1020,-2482
2900,-1955
1020,-2644
1020,-2600
1020,-2553
1000,-2177
1060,-2422
1020,-2552
980,-1942
1060,-2014
1060,-2233
1020,-2162
840,-1888
860,-1720
1020,-3184
1020,-2533
1020,-3053
1020,-2875
1000,-2193
1040,-2256
1020,-3170
1020,-2164
1040,-2431
1060,-2360
1020,-2840
1020,-2943
1100,-2394
920,-1937
1060,-3086
1040,-1864
1000,-2200
960,-1655
1020,-2313
1100,-2365
1100,-2730
1040,-2719
1080,-2626
1020,-3165
1020,-3173
1040,-2683
1040,-2492
1020,-2326
1120,-3767
1060,-2549
1020,-2662
1060,-2742
1060,-3351
1020,-3131
1040,-2926
1020,-2541
1020,-3200
1020,-2661
920,-1907
1040,-2656
1020,-2419
1040,-2293
1020,-2566
1020,-2329
1020,-3374
1040,-2768
1060,-2494
1040,-2097
1020,-2715
1020,-2711
1020,-2591
1080,-2861
920,-2199
1080,-2408
1040,-2838
2850,-2362
1040,-2381
1040,-2588
1060,-3574
900,-2329
1040,-2495
1020,-2096
1020,-2139
940,-1958
880,-2089
1020,-2447
1020,-3464
1020,-3506
1040,-2448
1000,-2094
1020,-2741
1020,-2445
1020,-2496
1020,-2416
1020,-3321
1020,-2914
1020,-2449
1020,-2888
1080,-2173
940,-2051
1020,-2594
1020,-3284
940,-2614
1020,-2794
1020,-2929
940,-1883
1020,-2540
920,-1239
2900,-2051
1040,-2688
1020,-2692
1020,-2699
1020,-3021
1060,-2348
1020,-2788
1020,-3245
1020,-2542
900,-2016
1240,-2327
1060,-2359
1020,-2612
1020,-2548
1060,-2458
1020,-2998
2900,-2496
1020,-2443
1020,-2462
940,-2235
920,-1663
1020,-3387
1020,-2675
1020,-3087
1020,-2981
1020,-2483
1040,-2436
1020,-2856
1100,-2298
1040,-2327
1020,-2725
1020,-2989
2850,-1718
1020,-2934
1020,-3773
2900,-2252
1020,-2712
1020,-2331
1080,-2744
1020,-2297
1020,-3063
940,-1792
1060,-2548
1100,-2440
1020,-3512
1060,-2862
1020,-2195
1020,-3302
1040,-2227
1020,-2543
1020,-3005
1020,-3138
1000,-2196
1100,-2636
1020,-2715
1020,-2294
840,-1825
1020,-2723
1020,-2534
1020,-2615
920,-1674
1020,-2786
1020,-2555
1020,-2476
1100,-2356
1040,-2817
1020,-2318
1020,-2471
1020,-2745
1020,-2778
1020,-2499
1020,-2811
1020,-3274
920,-1957
1040,-2561
1080,-2484
2700,-2958
1020,-2865
1000,-2263
1020,-2397
880,-2591
1020,-2524
1020,-2328
1020,-2465
900,-1422
1060,-2506
1020,-2797
1040,-3173
1020,-2178
1020,-3300
1020,-2605
960,-2141
1020,-2468
780,-1704
840,-1745
1060,-3197
1020,-3317
1020,-2610
760,-2925
1020,-2587
1020,-2409
1020,-2292
1020,-2711
1000,-2316
920,-2316
1100,-2620
1020,-2926
1020,-2417
1020,-3166
1020,-2868
1020,-2385
1020,-2578
940,-2079
1000,-2507
2900,-2222
820,-3173
1020,-2843
860,-2046
1020,-3374
1020,-2378
940,-2058
1000,-2287
1020,-2663
1020,-2886
940,-1928
900,-2129
1020,-2657
1020,-2469
1000,-2404
1040,-2280
760,-2528
1020,-2255
1020,-2464
1020,-2711
1020,-2522
1020,-2650
760,-2539
1040,-2733
1060,-1608
800,-1568
1020,-3259
940,-2130
1020,-2707
1020,-2252
1000,-1927
1020,-2742
1020,-2438
1020,-2372
980,-1888
1020,-3663
960,-2139
1020,-2769
2900,-2810
1020,-2631
1000,-2178
2250,-4457
1020,-2681
920,-2102
1020,-2727
1020,-3112
1020,-2617
1020,-3060
1040,-2566
1020,-2347
1060,-2872
1060,-2425
1080,-2638
1020,-2446
1060,-2511
1020,-2458
900,-2430
1060,-2602
2850,-2015
1020,-2417
940,-3191
1020,-3119
1020,-2016
1020,-2263
1020,-2232
1020,-2812
960,-2132
1020,-3099
1060,-2227
1020,-3192
1080,-2405
1440,-4074
1020,-2534
1020,-2531
1020,-2586
1000,-1951
1020,-2562
1020,-2786
960,-1768
1020,-2533
1020,-2608
1020,-2981
880,-1823
1020,-2451
1020,-2905
1100,-2571
1020,-2442
900,-2085
1020,-2545
1020,-3216
1020,-2132
1080,-2429
1020,-3080
1100,-2553
1020,-2564
1000,-2359
1060,-2267
1080,-2509
920,-1850
1020,-2454
1020,-3720
2100,-2904
1020,-2472
1020,-2425
2700,-2082
1100,-2286
1020,-2247
1040,-2386
1020,-2650
1040,-2630
1020,-2358
1020,-2573
880,-1848
1020,-3179
1020,-2603
760,-2743
1040,-3497
1060,-2827
1020,-2131
1020,-2299
1020,-2489
1080,-2660
2900,-2276
880,-1907
1020,-2485
1020,-2409
1020,-2719
1020,-2950
